	0|1495118176.003682|1495118177.003682
100|0x1290|1495118176.817306000|794
100|0x1291|1495118176.817310000|794
100|0x1292|1495118176.817725000|794
100|0x1293|1495118176.817729000|794
100|0x1294|1495118176.818122000|794
100|0x1295|1495118176.818126000|794
100|0x1296|1495118176.818517000|794
100|0x1297|1495118176.818521000|794
100|0x1298|1495118176.818917000|794
100|0x1299|1495118176.818921000|794
100|0x129a|1495118176.819334000|794
100|0x129b|1495118176.819339000|794
100|0x129c|1495118176.819751000|794
100|0x129d|1495118176.819756000|794
100|0x129e|1495118176.820169000|794
100|0x129f|1495118176.820173000|794
100|0x12a0|1495118176.820568000|794
100|0x12a1|1495118176.820573000|794
100|0x12a2|1495118176.820985000|794
100|0x12a3|1495118176.820990000|794
100|0x12a4|1495118176.821403000|794
100|0x12a5|1495118176.821407000|794
100|0x12a6|1495118176.821820000|794
100|0x12a7|1495118176.821825000|794
100|0x12a8|1495118176.822235000|794
100|0x12a9|1495118176.822240000|794
100|0x12aa|1495118176.822652000|794
100|0x12ab|1495118176.822656000|794
100|0x12ac|1495118176.823091000|794
100|0x12ad|1495118176.823095000|794
100|0x12ae|1495118176.823513000|794
100|0x12af|1495118176.823519000|794
100|0x12b0|1495118176.823956000|794
100|0x12b1|1495118176.823960000|794
100|0x12b2|1495118176.824356000|794
100|0x12b3|1495118176.824361000|794
100|0x12b4|1495118176.824756000|794
100|0x12b5|1495118176.824761000|794
100|0x12b6|1495118176.825189000|794
100|0x12b7|1495118176.825194000|794
100|0x12b8|1495118176.825571000|446
	1|1495118177.067025|1495118178.067025
100|0x12b9|1495118177.067025000|794
100|0x12ba|1495118177.067034000|794
100|0x12bb|1495118177.067734000|794
100|0x12bc|1495118177.067741000|794
100|0x12bd|1495118177.068422000|794
100|0x12be|1495118177.068429000|794
100|0x12bf|1495118177.069112000|794
100|0x12c0|1495118177.069118000|794
100|0x12c1|1495118177.069794000|794
100|0x12c2|1495118177.069801000|794
100|0x12c3|1495118177.070401000|794
100|0x12c4|1495118177.070406000|794
100|0x12c5|1495118177.070977000|794
100|0x12c6|1495118177.070982000|794
100|0x12c7|1495118177.071546000|794
100|0x12c8|1495118177.071551000|794
100|0x12c9|1495118177.072143000|794
100|0x12ca|1495118177.072148000|794
100|0x12cb|1495118177.072716000|794
100|0x12cc|1495118177.072720000|794
100|0x12cd|1495118177.073284000|794
100|0x12ce|1495118177.073289000|794
100|0x12cf|1495118177.073865000|794
100|0x12d0|1495118177.073870000|794
100|0x12d1|1495118177.074436000|794
100|0x12d2|1495118177.074440000|794
100|0x12d3|1495118177.075021000|794
